Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
70 to 74,Population,NGA,Male,1/1/2014,1M,,703725.897434574
40 to 44,Population,DJI,Female,1/1/2013,0M,25846.183151552,
35 to 39,Population,GIN,Female,1/1/2009,0M,252231.093855504,
75 to 79,Population,SSD,Male,1/1/2014,0M,,21024.332341413
70 to 74,Population,BGR,Female,1/1/2009,0M,201311.924572104,
Under 5,Population,GUM,Male,1/1/2011,0M,,8220.584203376
5 to 9,Population,LKA,Male,1/1/2011,1M,,907736.132355415
80 plus,Population,USA,Female,1/1/2017,7M,7396621.48956027,
55 to 59,Population,BGR,Female,1/1/2013,0M,264258.433842871,
15 to 19,Population,JAM,Male,1/1/2012,0M,,143198.073350932
45 to 49,Population,BRN,Male,1/1/2014,0M,,13630.826211837
45 to 49,Population,MDA,Male,1/1/2016,0M,,113230.445261623
35 to 39,Population,ARG,Male,1/1/2016,2M,,1555893.61186972
60 to 64,Population,DZA,Female,1/1/2015,1M,561816.871580255,
80 plus,Population,ALB,Male,1/1/2013,0M,,25234.381244294
20 to 24,Population,ZAF,Female,1/1/2009,3M,2670579.3388009,
65 to 69,Population,MYS,Male,1/1/2008,0M,,251577.231096968
30 to 34,Population,KWT,Female,1/1/2008,0M,129826.293494524,
Under 5,Population,ECU,Female,1/1/2014,1M,782818.463535763,
65 to 69,Population,PSE,Female,1/1/2012,0M,26167.180080616,
15 to 19,Population,NIC,Male,1/1/2017,0M,,319554.24664219
45 to 49,Population,SWZ,Female,1/1/2013,0M,19458.731569586,
65 to 69,Population,MWI,Female,1/1/2009,0M,83972.145332490,
70 to 74,Population,BLR,Female,1/1/2011,0M,261929.542305629,
60 to 64,Population,BHR,Female,1/1/2014,0M,10436.288902976,
70 to 74,Population,VUT,Female,1/1/2015,0M,1615.305814064,
45 to 49,Population,ALB,Male,1/1/2013,0M,,91867.597461716
80 plus,Population,BIH,Female,1/1/2011,0M,53960.124084657,
25 to 29,Population,LBY,Male,1/1/2017,0M,,300777.186058232
15 to 19,Population,CHL,Male,1/1/2010,1M,,742825.787960102
35 to 39,Population,ASM,Male,1/1/2011,0M,,1796.663208403
55 to 59,Population,HND,Female,1/1/2013,0M,119124.646269429,
Under 5,Population,MDV,Male,1/1/2014,0M,,18679.233253592
65 to 69,Population,SVN,Male,1/1/2016,0M,,55711.210806930
60 to 64,Population,MOZ,Male,1/1/2014,0M,,174307.428395906
55 to 59,Population,DOM,Male,1/1/2011,0M,,170861.760601667
35 to 39,Population,ZMB,Female,1/1/2012,0M,364165.677725606,
40 to 44,Population,BRA,Female,1/1/2012,7M,6955836.32850959,
65 to 69,Population,DJI,Female,1/1/2009,0M,4576.538547986,
70 to 74,Population,LAO,Male,1/1/2015,0M,,33695.640655044
25 to 29,Population,COD,Male,1/1/2008,2M,,2354347.12387868
55 to 59,Population,ROU,Male,1/1/2010,1M,,686865.905197891
75 to 79,Population,IDN,Male,1/1/2012,1M,,978398.853531238
40 to 44,Population,MUS,Male,1/1/2014,0M,,43081.120993838
25 to 29,Population,TGO,Female,1/1/2012,0M,299995.299863924,
75 to 79,Population,BWA,Female,1/1/2014,0M,9601.400220326,
10 to 14,Population,SRB,Male,1/1/2009,0M,,289912.284070328
35 to 39,Population,GRC,Male,1/1/2014,0M,,406103.145484142
65 to 69,Population,LBN,Male,1/1/2017,0M,,76161.706216016
70 to 74,Population,EGY,Female,1/1/2009,0M,353440.999646485,
55 to 59,Population,PHL,Male,1/1/2008,1M,,1377303.95949494
45 to 49,Population,USA,Female,1/1/2017,11M,10658060.7248057,
50 to 54,Population,CMR,Male,1/1/2016,0M,,351978.037070363
75 to 79,Population,NLD,Female,1/1/2015,0M,295326.199886842,
30 to 34,Population,GRL,Female,1/1/2012,0M,1772.136050376,
50 to 54,Population,MKD,Female,1/1/2013,0M,72599.971357060,
75 to 79,Population,MKD,Female,1/1/2009,0M,29754.801871507,
65 to 69,Population,TLS,Female,1/1/2012,0M,15621.048530920,
10 to 14,Population,NER,Male,1/1/2011,1M,,1092610.67714392
10 to 14,Population,BFA,Male,1/1/2014,1M,,1258847.50647383
45 to 49,Population,BEL,Male,1/1/2017,0M,,397661.611107815
5 to 9,Population,BEL,Male,1/1/2014,0M,,327046.620064713
40 to 44,Population,BOL,Male,1/1/2008,0M,,246973.689070049
5 to 9,Population,SVK,Female,1/1/2017,0M,142305.76839762,
50 to 54,Population,KAZ,Female,1/1/2016,1M,542537.504559766,
80 plus,Population,BLR,Male,1/1/2008,0M,,66992.300021525
75 to 79,Population,BOL,Female,1/1/2011,0M,59452.101822989,
30 to 34,Population,LBR,Female,1/1/2012,0M,143717.548516962,
5 to 9,Population,SUR,Female,1/1/2010,0M,24225.038263634,
45 to 49,Population,BLR,Male,1/1/2008,0M,,388719.56546395
30 to 34,Population,LVA,Male,1/1/2017,0M,,70649.740813100
5 to 9,Population,BRN,Male,1/1/2017,0M,,16313.359722130
80 plus,Population,BEL,Male,1/1/2017,0M,,227392.698705286
55 to 59,Population,EGY,Female,1/1/2013,1M,1389941.92721249,
40 to 44,Population,TTO,Female,1/1/2013,0M,43527.367188519,
75 to 79,Population,GBR,Female,1/1/2009,2M,2217162.66140464,
60 to 64,Population,ALB,Male,1/1/2009,0M,,62916.406487026
15 to 19,Population,HUN,Male,1/1/2016,0M,,255490.659229038
50 to 54,Population,GRD,Male,1/1/2016,0M,,3544.411291235
20 to 24,Population,SGP,Male,1/1/2015,0M,,210034.048987601
80 plus,Population,EST,Male,1/1/2013,0M,,15405.812851552
70 to 74,Population,BIH,Male,1/1/2008,0M,,69642.902225910
10 to 14,Population,ARM,Male,1/1/2012,0M,,94727.190558128
20 to 24,Population,RUS,Male,1/1/2015,4M,,4378969.23159231
5 to 9,Population,USA,Female,1/1/2014,10M,10298908.8581938,
20 to 24,Population,YEM,Male,1/1/2015,1M,,1273276.1525249
Under 5,Population,BTN,Male,1/1/2010,0M,,42435.443447679
Under 5,Population,GNQ,Female,1/1/2012,0M,85618.698949019,
60 to 64,Population,DOM,Female,1/1/2008,0M,124952.952601801,
60 to 64,Population,EST,Male,1/1/2009,0M,,29890.066659870
65 to 69,Population,BTN,Male,1/1/2017,0M,,8496.545899584
65 to 69,Population,GNB,Male,1/1/2015,0M,,8360.906198683
35 to 39,Population,FSM,Male,1/1/2009,0M,,3044.089596585
65 to 69,Population,SLB,Female,1/1/2014,0M,3799.177674863,
80 plus,Population,SVK,Female,1/1/2014,0M,114832.375616485,
Under 5,Population,QAT,Male,1/1/2012,0M,,59992.511860421
20 to 24,Population,WSM,Male,1/1/2015,0M,,8112.633122164
30 to 34,Population,LUX,Male,1/1/2010,0M,,18694.789243020
25 to 29,Population,MLI,Male,1/1/2012,1M,,514421.134778885
Under 5,Population,LBN,Male,1/1/2010,0M,,384535.195102352
30 to 34,Population,KIR,Female,1/1/2012,0M,3895.294344854,
10 to 14,Population,FSM,Male,1/1/2013,0M,,6548.570659341
35 to 39,Population,CZE,Female,1/1/2010,0M,429325.204572065,
80 plus,Population,BRN,Male,1/1/2014,0M,,1127.566227303
70 to 74,Population,HND,Female,1/1/2009,0M,46665.400896078,
5 to 9,Population,LCA,Female,1/1/2011,0M,6540.319061431,
70 to 74,Population,MDG,Female,1/1/2010,0M,73414.856643244,
25 to 29,Population,PRY,Female,1/1/2013,0M,278196.847169837,
65 to 69,Population,ISR,Male,1/1/2014,0M,,148241.592977317
70 to 74,Population,COM,Male,1/1/2013,0M,,3728.527871837
40 to 44,Population,ZWE,Female,1/1/2010,0M,252593.915808129,
50 to 54,Population,GBR,Female,1/1/2013,4M,4403763.07664003,
45 to 49,Population,BIH,Female,1/1/2011,0M,141873.892662178,
25 to 29,Population,SUR,Female,1/1/2016,0M,22203.990677050,
25 to 29,Population,CRI,Female,1/1/2012,0M,202501.785484384,
50 to 54,Population,MYS,Female,1/1/2011,1M,658078.814126285,
10 to 14,Population,SAU,Male,1/1/2012,1M,,1346923.21255525
30 to 34,Population,LSO,Male,1/1/2016,0M,,82350.512806371
35 to 39,Population,JPN,Male,1/1/2015,4M,,4361870.60129197
60 to 64,Population,PHL,Female,1/1/2011,1M,1220585.90139839,
10 to 14,Population,KGZ,Female,1/1/2010,0M,271683.721750441,
80 plus,Population,MDA,Male,1/1/2016,0M,,30789.044655975
30 to 34,Population,YEM,Female,1/1/2010,1M,871570.801184421,
20 to 24,Population,SLV,Male,1/1/2015,0M,,286915.32022568
10 to 14,Population,PER,Female,1/1/2009,1M,1351002.28731878,
25 to 29,Population,ISR,Male,1/1/2012,0M,,302530.151017257
50 to 54,Population,KOR,Female,1/1/2017,2M,2091430.74411557,
Under 5,Population,VIR,Female,1/1/2012,0M,3609.480406417,
35 to 39,Population,BWA,Female,1/1/2012,0M,71509.132595013,
35 to 39,Population,IDN,Male,1/1/2014,10M,,10010488.4092528
40 to 44,Population,MEX,Female,1/1/2009,4M,3734320.64138785,
40 to 44,Population,GEO,Male,1/1/2016,0M,,451321.353784398
75 to 79,Population,TCD,Female,1/1/2009,0M,28428.857823011,
20 to 24,Population,BHR,Female,1/1/2012,0M,43865.422956432,
80 plus,Population,GNQ,Female,1/1/2016,0M,2518.942296159,
20 to 24,Population,BHS,Female,1/1/2015,0M,15694.337490538,
Under 5,Population,CYP,Male,1/1/2014,0M,,37046.593200347
15 to 19,Population,UKR,Female,1/1/2011,1M,1296467.02941998,
15 to 19,Population,FJI,Female,1/1/2011,0M,39568.013018699,
Under 5,Population,NLD,Male,1/1/2017,0M,,446172.328636823
45 to 49,Population,ITA,Female,1/1/2008,2M,2184361.92255875,
70 to 74,Population,DZA,Male,1/1/2010,0M,,261017.491107507
Under 5,Population,ETH,Male,1/1/2010,8M,,7790802.77394486
50 to 54,Population,SAU,Male,1/1/2014,1M,,727394.696307126
60 to 64,Population,MDG,Male,1/1/2015,0M,,182921.072360136
5 to 9,Population,ASM,Female,1/1/2013,0M,3076.013341898,
50 to 54,Population,TCD,Female,1/1/2013,0M,136760.172998242,
55 to 59,Population,UGA,Male,1/1/2017,0M,,303879.826461227
60 to 64,Population,DEU,Male,1/1/2017,3M,,2552493.81186486
5 to 9,Population,COD,Male,1/1/2009,5M,,4755100.78887698
40 to 44,Population,PAN,Female,1/1/2014,0M,122378.294842167,
45 to 49,Population,GNQ,Female,1/1/2016,0M,21341.739840937,
25 to 29,Population,PRT,Female,1/1/2013,0M,314491.450420321,
60 to 64,Population,NAM,Female,1/1/2016,0M,27073.246058268,
35 to 39,Population,VNM,Female,1/1/2009,3M,3327058.43983059,
35 to 39,Population,NPL,Female,1/1/2017,1M,1039357.26474204,
35 to 39,Population,SSD,Male,1/1/2012,0M,,255073.023139298
70 to 74,Population,URY,Female,1/1/2009,0M,64846.488975539,
Under 5,Population,DNK,Female,1/1/2010,0M,158581.585820766,
20 to 24,Population,UKR,Male,1/1/2008,2M,,1967039.03855459
50 to 54,Population,ARM,Male,1/1/2014,0M,,104644.357890853
70 to 74,Population,LBR,Female,1/1/2014,0M,16602.239122810,
5 to 9,Population,AFG,Female,1/1/2010,2M,2150281.05096601,
5 to 9,Population,ARG,Female,1/1/2015,2M,1661554.97062929,
20 to 24,Population,LUX,Female,1/1/2015,0M,16906.544389656,
65 to 69,Population,CRI,Female,1/1/2014,0M,63454.794761813,
35 to 39,Population,LKA,Female,1/1/2013,1M,761958.917937305,
5 to 9,Population,NER,Female,1/1/2009,1M,1336371.27556159,
65 to 69,Population,NLD,Male,1/1/2010,0M,,383376.214025987
40 to 44,Population,CUB,Female,1/1/2008,1M,555017.610920949,
Under 5,Population,COL,Female,1/1/2008,2M,2244454.01416848,
35 to 39,Population,PER,Female,1/1/2013,1M,1082275.39231361,
25 to 29,Population,PSE,Female,1/1/2014,0M,183198.958670599,
70 to 74,Population,ITA,Male,1/1/2011,1M,,1418892.14504296
55 to 59,Population,URY,Female,1/1/2013,0M,96475.672098686,
65 to 69,Population,TGO,Female,1/1/2014,0M,51437.086956774,
80 plus,Population,ROU,Female,1/1/2015,1M,530507.258579755,
40 to 44,Population,GUY,Female,1/1/2013,0M,23847.509483719,
80 plus,Population,AUS,Male,1/1/2011,0M,,335738.021098181
75 to 79,Population,CUB,Male,1/1/2011,0M,,122450.652642995
35 to 39,Population,SDN,Female,1/1/2010,1M,971217.89869668,
65 to 69,Population,MEX,Female,1/1/2013,1M,1468585.00474616,
5 to 9,Population,JPN,Female,1/1/2016,3M,2667155.69953817,
70 to 74,Population,GRL,Female,1/1/2014,0M,604.530193884,
15 to 19,Population,HTI,Male,1/1/2011,1M,,528469.434638165
40 to 44,Population,GHA,Female,1/1/2017,1M,811524.080376765,
20 to 24,Population,HTI,Female,1/1/2008,1M,540571.125120926,
65 to 69,Population,ETH,Male,1/1/2017,1M,,557121.674773246
55 to 59,Population,DMA,Female,1/1/2016,0M,1708.734706790,
25 to 29,Population,SLB,Female,1/1/2012,0M,23145.833645841,
75 to 79,Population,ZMB,Female,1/1/2014,0M,37702.649950668,
60 to 64,Population,LAO,Female,1/1/2010,0M,61519.903485018,
25 to 29,Population,JPN,Female,1/1/2010,4M,3697733.13754194,
10 to 14,Population,VNM,Female,1/1/2013,3M,3287261.95813833,
25 to 29,Population,TLS,Female,1/1/2014,0M,45428.416956817,
25 to 29,Population,ESP,Female,1/1/2011,2M,1610619.90849049,
75 to 79,Population,GNB,Female,1/1/2010,0M,3526.970953782,
50 to 54,Population,AND,Male,1/1/2017,0M,,3694.896249055
35 to 39,Population,RWA,Female,1/1/2008,0M,247505.146424896,
60 to 64,Population,AGO,Male,1/1/2011,0M,,139674.999250879
35 to 39,Population,FRA,Male,1/1/2016,2M,,2017150.52837394
75 to 79,Population,GRC,Male,1/1/2012,0M,,212154.554423172
25 to 29,Population,POL,Female,1/1/2017,1M,1333577.10737437,
55 to 59,Population,JAM,Male,1/1/2014,0M,,57252.181581227
35 to 39,Population,ISL,Male,1/1/2017,0M,,11782.870722599
50 to 54,Population,ZWE,Male,1/1/2015,0M,,155814.305798714
20 to 24,Population,PNG,Female,1/1/2008,0M,323805.067417526,
25 to 29,Population,AFG,Female,1/1/2016,1M,958454.107140913,
45 to 49,Population,AUS,Male,1/1/2011,1M,,754841.965858718
60 to 64,Population,PAK,Male,1/1/2016,2M,,2097456.07996416
5 to 9,Population,SRB,Female,1/1/2011,0M,254984.048510102,
30 to 34,Population,RUS,Female,1/1/2010,6M,5655068.50094133,
65 to 69,Population,ATG,Female,1/1/2015,0M,1390.472527475,
10 to 14,Population,LCA,Male,1/1/2009,0M,,7974.777652759
60 to 64,Population,GTM,Male,1/1/2016,0M,,170875.111447795
30 to 34,Population,NZL,Female,1/1/2008,0M,140567.391562952,
45 to 49,Population,QAT,Male,1/1/2016,0M,,156481.792966295
40 to 44,Population,CHN,Male,1/1/2015,61M,,61075634.4982159
70 to 74,Population,AUS,Female,1/1/2008,0M,339688.354265356,
65 to 69,Population,DNK,Female,1/1/2017,0M,169780.530519241,
65 to 69,Population,CHE,Male,1/1/2016,0M,,208985.048124706
10 to 14,Population,TUR,Male,1/1/2010,3M,,3369572.71484304
45 to 49,Population,ROU,Female,1/1/2015,1M,775737.19999318,
70 to 74,Population,KIR,Female,1/1/2014,0M,706.454326578,
20 to 24,Population,FJI,Male,1/1/2008,0M,,41970.775891254
25 to 29,Population,CZE,Male,1/1/2015,0M,,354916.650637585
30 to 34,Population,SGP,Female,1/1/2010,0M,270570.37738174,
15 to 19,Population,ERI,Female,1/1/2010,0M,293252.201471299,
Under 5,Population,STP,Male,1/1/2011,0M,,13380.352915862
60 to 64,Population,VUT,Male,1/1/2010,0M,,2379.607902394
Under 5,Population,SOM,Female,1/1/2015,1M,1373855.8926917,
30 to 34,Population,NGA,Male,1/1/2012,5M,,5314091.79256379
65 to 69,Population,MLI,Male,1/1/2014,0M,,113515.188323716
10 to 14,Population,ESP,Male,1/1/2008,1M,,1094725.20957125
Under 5,Population,MDA,Male,1/1/2012,0M,,110506.938328503
15 to 19,Population,BRB,Female,1/1/2010,0M,9657.708734760,
30 to 34,Population,WSM,Female,1/1/2010,0M,5730.395246464,
35 to 39,Population,LCA,Male,1/1/2013,0M,,6295.659341515
20 to 24,Population,CAF,Male,1/1/2009,0M,,199785.557406923
50 to 54,Population,BFA,Male,1/1/2012,0M,,208924.263546456
65 to 69,Population,IRN,Male,1/1/2013,1M,,702766.374038253
55 to 59,Population,AGO,Female,1/1/2008,0M,199381.983560955,
80 plus,Population,ITA,Female,1/1/2008,2M,2160224.13410851,
30 to 34,Population,TKM,Female,1/1/2011,0M,171987.630028374,
20 to 24,Population,IRL,Female,1/1/2013,0M,146484.848200231,
65 to 69,Population,GUY,Female,1/1/2009,0M,6998.510706096,
70 to 74,Population,BMU,Female,1/1/2016,0M,1526.986300635,
Under 5,Population,CIV,Female,1/1/2009,2M,1751276.73275619,
35 to 39,Population,TON,Female,1/1/2010,0M,3148.524000616,
20 to 24,Population,KEN,Male,1/1/2009,2M,,1874298.84906674
20 to 24,Population,MOZ,Male,1/1/2012,1M,,969942.891406253
40 to 44,Population,IRN,Male,1/1/2009,2M,,2376145.29454547
15 to 19,Population,PNG,Male,1/1/2011,0M,,441102.554715986
80 plus,Population,QAT,Male,1/1/2016,0M,,2140.678455163
65 to 69,Population,JOR,Female,1/1/2015,0M,66852.415003931,
10 to 14,Population,LKA,Female,1/1/2009,1M,832006.753136343,
50 to 54,Population,HTI,Female,1/1/2012,0M,189841.683569353,
50 to 54,Population,FJI,Male,1/1/2012,0M,,24213.938305454
65 to 69,Population,BHR,Male,1/1/2011,0M,,5371.457219293
50 to 54,Population,UKR,Male,1/1/2012,2M,,1662283.8260433
70 to 74,Population,BWA,Male,1/1/2011,0M,,9057.711932488
45 to 49,Population,RWA,Female,1/1/2012,0M,201014.99136808,
55 to 59,Population,SEN,Male,1/1/2010,0M,,139538.925164993
40 to 44,Population,LCA,Male,1/1/2017,0M,,6416.586354250
30 to 34,Population,DEU,Male,1/1/2009,2M,,2395989.88869408
10 to 14,Population,GHA,Female,1/1/2009,1M,1452710.19538091,
10 to 14,Population,ETH,Male,1/1/2013,6M,,6442630.90447433
60 to 64,Population,ESP,Male,1/1/2012,1M,,1204134.44080528
35 to 39,Population,CIV,Female,1/1/2010,1M,563665.463174159,
70 to 74,Population,KEN,Male,1/1/2017,0M,,180757.128352217
65 to 69,Population,VNM,Female,1/1/2017,1M,1263013.45286467,
5 to 9,Population,SOM,Male,1/1/2008,1M,,1038166.8917463
45 to 49,Population,MUS,Female,1/1/2011,0M,50475.207249001,
50 to 54,Population,LTU,Female,1/1/2010,0M,121956.285093433,
70 to 74,Population,CAF,Male,1/1/2017,0M,,14322.407078740
40 to 44,Population,FIN,Male,1/1/2010,0M,,177666.894585026
40 to 44,Population,LKA,Female,1/1/2017,1M,735775.840129446,
60 to 64,Population,MNE,Male,1/1/2016,0M,,19006.912684278
40 to 44,Population,SVK,Male,1/1/2011,0M,,181217.579141856
65 to 69,Population,MOZ,Female,1/1/2011,0M,133611.63251679,
60 to 64,Population,SLB,Male,1/1/2011,0M,,4955.998241550
50 to 54,Population,CPV,Female,1/1/2010,0M,10082.119416629,
50 to 54,Population,PNG,Female,1/1/2012,0M,119646.982674168,
75 to 79,Population,BRN,Male,1/1/2008,0M,,981.852425730
Under 5,Population,TON,Female,1/1/2009,0M,6743.867855120,
65 to 69,Population,ISL,Male,1/1/2009,0M,,5101.410500890
35 to 39,Population,GUY,Female,1/1/2017,0M,25141.700012503,
20 to 24,Population,BFA,Male,1/1/2008,1M,,621618.517784801
80 plus,Population,SYC,Male,1/1/2010,0M,,488.682868917
35 to 39,Population,GHA,Female,1/1/2013,1M,861339.738640737,
5 to 9,Population,COM,Male,1/1/2012,0M,,43518.989266787
40 to 44,Population,NZL,Female,1/1/2012,0M,166040.214294383,
30 to 34,Population,CUB,Female,1/1/2012,0M,313456.842662232,
Under 5,Population,ARG,Male,1/1/2008,2M,,1752007.26136412
70 to 74,Population,SSD,Female,1/1/2011,0M,24482.645035525,
30 to 34,Population,HRV,Male,1/1/2010,0M,,152219.773582396
40 to 44,Population,PRK,Female,1/1/2015,1M,1030142.82445198,
50 to 54,Population,DOM,Female,1/1/2014,0M,232888.323289969,
Under 5,Population,SDN,Female,1/1/2009,3M,2816972.25692991,
55 to 59,Population,IRL,Female,1/1/2017,0M,139321.798152226,
30 to 34,Population,SWE,Male,1/1/2010,0M,,296541.504161362
50 to 54,Population,PRT,Female,1/1/2017,0M,407576.232209458,
5 to 9,Population,OMN,Male,1/1/2016,0M,,163637.932330383
45 to 49,Population,SYC,Male,1/1/2010,0M,,3492.207853036
80 plus,Population,MUS,Female,1/1/2011,0M,13466.088609632,
55 to 59,Population,SLB,Female,1/1/2008,0M,5505.262274047,
25 to 29,Population,TCD,Female,1/1/2017,1M,534053.16881582,
30 to 34,Population,SYR,Female,1/1/2016,1M,599590.377268742,
35 to 39,Population,VEN,Female,1/1/2015,1M,1117788.90993202,
60 to 64,Population,ISR,Female,1/1/2011,0M,185439.061977677,
15 to 19,Population,MRT,Male,1/1/2015,0M,,192383.047492082
25 to 29,Population,AGO,Female,1/1/2012,1M,914529.906030322,
80 plus,Population,SSD,Male,1/1/2008,0M,,15058.419603330
50 to 54,Population,MOZ,Male,1/1/2008,0M,,253673.759219725
35 to 39,Population,ETH,Male,1/1/2009,2M,,1982575.3206943
40 to 44,Population,ISL,Male,1/1/2013,0M,,10384.205768608
25 to 29,Population,MNG,Female,1/1/2016,0M,162798.835195968,
15 to 19,Population,COD,Male,1/1/2014,4M,,3956350.11832176
65 to 69,Population,NPL,Female,1/1/2009,0M,256007.558910282,
10 to 14,Population,MEX,Female,1/1/2017,6M,5584294.00274654,
15 to 19,Population,BFA,Female,1/1/2011,1M,925439.328038363,
20 to 24,Population,URY,Female,1/1/2017,0M,128866.199905361,
10 to 14,Population,DNK,Female,1/1/2013,0M,163894.324352227,
40 to 44,Population,BRN,Female,1/1/2011,0M,15040.938805379,
50 to 54,Population,POL,Female,1/1/2013,1M,1345782.3836171,
15 to 19,Population,DEU,Male,1/1/2013,2M,,2104694.32235786
5 to 9,Population,VCT,Male,1/1/2010,0M,,4949.026191554
25 to 29,Population,KOR,Female,1/1/2013,2M,1579042.07426613,
65 to 69,Population,MNP,Female,1/1/2016,0M,643.423128881,
50 to 54,Population,BHR,Female,1/1/2008,0M,17363.124676818,
75 to 79,Population,NGA,Female,1/1/2011,0M,398470.32109817,
30 to 34,Population,ASM,Female,1/1/2014,0M,1648.175870124,
65 to 69,Population,PHL,Male,1/1/2014,1M,,818449.911637552
40 to 44,Population,BIH,Male,1/1/2014,0M,,124335.378192845
45 to 49,Population,BWA,Female,1/1/2008,0M,42057.530459852,
5 to 9,Population,MNG,Female,1/1/2010,0M,111131.41645844,
35 to 39,Population,DNK,Female,1/1/2009,0M,191198.89256232,
80 plus,Population,RWA,Female,1/1/2012,0M,25124.482095885,
20 to 24,Population,UGA,Male,1/1/2013,2M,,1532028.35574835
25 to 29,Population,VCT,Male,1/1/2016,0M,,4137.641890064
55 to 59,Population,ISR,Male,1/1/2008,0M,,176597.449546168
15 to 19,Population,NER,Female,1/1/2014,1M,1025075.67789714,
75 to 79,Population,POL,Female,1/1/2009,1M,731592.160628285,
Under 5,Population,TUR,Male,1/1/2013,3M,,3277178.33589496
30 to 34,Population,GRC,Female,1/1/2011,0M,412734.846789575,
40 to 44,Population,NPL,Female,1/1/2013,1M,787206.546499965,
5 to 9,Population,COL,Male,1/1/2015,2M,,2250586.28633849
35 to 39,Population,ITA,Female,1/1/2012,2M,2340956.49231434,
80 plus,Population,BWA,Female,1/1/2008,0M,9688.002321433,
30 to 34,Population,TWN,Male,1/1/2010,1M,,1010783.02246328
Under 5,Population,SLE,Male,1/1/2011,1M,,544374.041741295
